"variable_name,description"
"record_id,Unique ID for each PDF record"
"ticker_folder,Stock ticker based on folder name"
"ticker_file,Stock ticker parsed from file name"
"year_short,Two-digit year parsed from file name"
"year_full,Full report year from 2000 to 2025"
"document_type,Document type; annual_report"
"file_name,Original PDF file name"
"relative_path,Relative file path within the dataset"
"file_size_bytes,PDF file size in bytes"
"file_size_mb,PDF file size in megabytes"
"sha256,SHA256 checksum for file integrity verification"
"status,Status of the file record"
"notes,Notes for files requiring review"
